Date	Blocks
2016-08-27	950.0
2016-08-28	907.0
2016-08-29	960.0
2016-08-30	963.0
2016-08-31	936.0
2016-09-01	912.0
2016-09-02	905.0
2016-09-03	1036.0
2016-09-04	930.0
2016-09-05	940.0
2016-09-06	993.0
2016-09-07	942.0
2016-09-08	894.0
2016-09-09	914.0
2016-09-10	949.0
2016-09-11	1092.0
2016-09-12	960.0
2016-09-13	901.0
2016-09-14	957.0
2016-09-15	913.0
2016-09-16	790.0
2016-09-17	844.0
2016-09-18	893.0
2016-09-19	848.0
2016-09-20	487.0
2016-09-21	510.0
2016-09-22	335.0
2016-09-23	234.0
2016-09-24	393.0
2016-09-25	517.0
2016-09-26	205.0
2016-09-27	223.0
2016-09-28	236.0
2016-09-29	309.0
2016-09-30	774.0
2016-10-01	608.0
2016-10-02	566.0
2016-10-03	590.0
2016-10-04	656.0
2016-10-05	971.0
2016-10-06	948.0
2016-10-07	917.0
2016-10-08	977.0
2016-10-09	949.0
2016-10-10	853.0
2016-10-11	778.0
2016-10-12	869.0
2016-10-13	924.0
2016-10-14	968.0
2016-10-15	949.0
2016-10-16	890.0
2016-10-17	203.0
2016-10-18	253.0
2016-10-19	303.0
2016-10-20	284.0
2016-10-21	421.0
2016-10-22	373.0
2016-10-23	412.0
2016-10-24	392.0
2016-10-25	279.0
2016-10-26	229.0
2016-10-27	246.0
2016-10-28	272.0
2016-10-29	268.0
2016-10-30	293.0
2016-10-31	273.0
2016-11-01	246.0
2016-11-02	261.0
2016-11-03	293.0
2016-11-04	251.0
2016-11-05	239.0
2016-11-06	291.0
2016-11-07	123.0
2016-11-08	128.0
2016-11-09	291.0
2016-11-10	301.0
2016-11-11	408.0
2016-11-12	684.0
2016-11-13	801.0
2016-11-14	885.0
2016-11-15	952.0
2016-11-16	1009.0
2016-11-17	960.0
2016-11-18	1106.0
2016-11-19	936.0
2016-11-20	908.0
2016-11-21	934.0
2016-11-22	917.0
2016-11-23	960.0
2016-11-24	905.0
2016-11-25	925.0
2016-11-26	1076.0
2016-11-27	830.0
2016-11-28	936.0
2016-11-29	1001.0
2016-11-30	1032.0
2016-12-01	958.0
2016-12-02	830.0
2016-12-03	996.0
2016-12-04	955.0
2016-12-05	1046.0
2016-12-06	904.0
2016-12-07	852.0
2016-12-08	1075.0
2016-12-09	964.0
2016-12-10	800.0
2016-12-11	953.0
2016-12-12	1075.0
2016-12-13	830.0
2016-12-14	1010.0
2016-12-15	932.0
2016-12-16	955.0
2016-12-17	972.0
2016-12-18	978.0
2016-12-19	1047.0
2016-12-20	1090.0
2016-12-21	1126.0
2016-12-22	1063.0
2016-12-23	1017.0
2016-12-24	1019.0
2016-12-25	983.0
2016-12-26	993.0
2016-12-27	1069.0
2016-12-28	1004.0
2016-12-29	1015.0
2016-12-30	1044.0
2016-12-31	1079.0
2017-01-01	1005.0
2017-01-02	1013.0
2017-01-03	982.0
2017-01-04	1005.0
2017-01-05	982.0
2017-01-06	977.0
2017-01-07	923.0
2017-01-08	950.0
2017-01-09	916.0
2017-01-10	950.0
2017-01-11	955.0
2017-01-12	1038.0
2017-01-13	1111.0
2017-01-14	1139.0
2017-01-15	1171.0
2017-01-16	1186.0
2017-01-17	897.0
2017-01-18	952.0
2017-01-19	751.0
2017-01-20	852.0
2017-01-21	726.0
2017-01-22	632.0
2017-01-23	705.0
2017-01-24	1122.0
2017-01-25	944.0
2017-01-26	974.0
2017-01-27	967.0
2017-01-28	993.0
2017-01-29	1042.0
